ID,TRIP_ID,SET_NUM,VESSEL_ID,DECLARED_TRIP,SET_BEGIN_DATETIME,SET_BEGIN_TIME,SET_END_DATETIME,SET_BEGIN_LAT,SET_BEGIN_LON,SET_END_LAT,SET_END_LON,HAUL_BEGIN_DATETIME,HAUL_END_DATETIME,HAUL_BEGIN_DATE,HAUL_BEGIN_TIME,HAUL_BEGIN_LAT,HAUL_BEGIN_LON,HAUL_END_LAT,HAUL_END_LON,SOAK,NUM_FLTS,NUM_HKS_SET,HKS_PER_FLT,FLTLN_LEN,BRNCHLN_LEN,LDR_LEN,MIN_LEN,BLUEDYE_YN,BLUEDYE,BAIT_CODE_VAL,NUM_LITE_DEVICES,NUM_CAUGHT,KEPT,FISH,SHARKS,ODONT,TURTLES,SWO,BET,TUNA,MAHI,CPUE,MM_YN,MM_sum,DPUE,DP,FKW,FKW_sum,SFPW,SFPW_sum,RISS,RISS_sum,MONTH,YEAR,postTRT,SET_LAG
1,AEH460925,1,FV335081,NA,9/11/2003 7:05,7:05:00,9/11/2003 12:15,16.33,-156.44,15.89,-156.64,9/11/2003 18:40,9/12/2003 4:20,9/11/2003,18:40:00,15.89,-156.67,16.34,-156.53,965,79,766,30,22,12,NA,NA,N,0,Sardine,NA,58,32,43,15,0,0,3,3,15,3,56.13577023,0,0,0,0,0,0,0,0,0,0,9,2003,0,NA
2,AEH460925,2,FV335081,NA,9/12/2003 7:25,7:25:00,9/12/2003 12:30,16.16,-156.45,15.78,-156.65,9/12/2003 18:35,9/13/2003 4:12,9/12/2003,18:35:00,15.78,-156.65,16.17,-156.51,942,79,759,31,22,12,NA,NA,N,0,Sardine,NA,59,33,40,18,0,0,1,7,15,1,52.70092227,0,0,0,0,0,0,0,0,0,0,9,2003,0,1460
3,AEH460925,3,FV335081,NA,9/13/2003 7:15,7:15:00,9/13/2003 12:18,16.15,-156.49,15.75,-156.75,9/13/2003 18:45,9/14/2003 4:15,9/13/2003,18:45:00,15.75,-156.75,16.17,-156.56,957,79,755,31,22,12,NA,NA,N,0,Sardine,NA,56,19,34,22,0,0,0,8,15,2,45.03311258,0,0,0,0,0,0,0,0,0,0,9,2003,0,1430
4,AEH460925,4,FV335081,NA,9/15/2003 6:55,6:55:00,9/15/2003 12:00,16.26,-155.51,15.86,-155.79,9/15/2003 18:42,9/16/2003 3:25,9/15/2003,18:42:00,15.85,-155.78,16.26,-155.55,925,72,624,31,22,12,NA,NA,N,0,Sardine,NA,73,34,54,19,0,0,4,6,15,2,86.53846154,0,0,0,0,0,0,0,0,0,0,9,2003,0,2860
5,AEH460925,5,FV335081,NA,9/16/2003 6:50,6:50:00,9/16/2003 11:53,16.17,-155.63,15.79,-155.95,9/16/2003 18:38,9/17/2003 3:55,9/16/2003,18:38:00,15.8,-155.86,16.16,-155.59,962,77,617,31,22,12,NA,NA,N,0,Sardine,NA,87,38,61,21,0,0,1,3,21,4,98.86547812,0,0,0,0,0,0,0,0,0,0,9,2003,0,1435
6,AEH460925,6,FV335081,NA,9/17/2003 7:18,7:18:00,9/17/2003 12:12,15.96,-155.56,15.58,-155.85,9/17/2003 18:37,9/18/2003 4:03,9/17/2003,18:37:00,15.59,-155.85,15.98,-155.51,951,80,642,31,22,12,NA,NA,N,0,Sardine,NA,64,45,55,7,0,0,2,7,11,13,85.66978193,0,0,0,0,0,0,0,0,0,0,9,2003,0,1468
7,AEH460925,7,FV335081,NA,9/18/2003 7:13,7:13:00,9/18/2003 12:13,15.97,-155.59,15.65,-155.94,9/18/2003 18:25,9/19/2003 3:50,9/18/2003,18:25:00,15.66,-155.95,16.02,-155.59,937,78,589,30,22,12,NA,NA,N,0,Sardine,NA,44,7,25,16,0,0,1,1,4,2,42.44482173,1,10,16.97792869,1.428571429,0,0,0,0,0,0,9,2003,0,1435
8,AEH460925,8,FV335081,NA,9/20/2003 7:23,7:23:00,9/20/2003 12:20,17.49,-156.24,17.2,-156.64,9/20/2003 18:23,9/21/2003 4:17,9/20/2003,18:23:00,17.21,-156.7,17.48,-156.42,957,78,630,31,22,12,NA,NA,N,0,Sardine,NA,78,47,69,7,0,0,4,2,4,4,109.5238095,0,0,0,0,0,0,0,0,0,0,9,2003,0,2890
9,AEH460925,9,FV335081,NA,9/21/2003 7:58,7:58:00,9/21/2003 13:04,17.58,-156.69,17.28,-157.1,9/21/2003 18:35,9/22/2003 4:55,9/21/2003,18:35:00,17.29,-157.14,17.57,-156.85,951,80,651,31,22,12,NA,NA,N,0,Sardine,NA,89,51,68,19,0,0,2,14,26,3,104.4546851,0,0,0,0,0,0,0,0,0,0,9,2003,0,1475
10,AEH460925,10,FV335081,NA,9/22/2003 7:35,7:35:00,9/22/2003 12:36,17.44,-156.95,17.13,-157.32,9/22/2003 18:52,9/23/2003 4:26,9/22/2003,18:52:00,17.14,-157.39,17.44,-157.11,950,76,546,31,22,12,NA,NA,N,0,Sardine,NA,62,39,53,9,0,0,1,9,17,3,97.06959707,0,0,0,0,0,0,0,0,0,0,9,2003,0,1417
